Node,X,Y,Z
333,125.000000,35.000000,30.000000
334,135.000000,35.000000,30.000000
335,145.000000,35.000000,30.000000
336,155.000000,35.000000,30.000000
337,165.000000,35.000000,30.000000
338,175.000000,35.000000,30.000000
339,185.000000,35.000000,30.000000
340,195.000000,35.000000,30.000000
341,5.000000,25.000000,30.000000
342,15.000000,25.000000,30.000000
343,25.000000,25.000000,30.000000
344,35.000000,25.000000,30.000000
345,45.000000,25.000000,30.000000
346,55.000000,25.000000,30.000000
347,65.000000,25.000000,30.000000
348,75.000000,25.000000,30.000000
349,85.000000,25.000000,30.000000
350,95.000000,25.000000,30.000000
351,105.000000,25.000000,30.000000
352,115.000000,25.000000,30.000000
353,125.000000,25.000000,30.000000
354,135.000000,25.000000,30.000000
355,145.000000,25.000000,30.000000
356,155.000000,25.000000,30.000000
357,165.000000,25.000000,30.000000
358,175.000000,25.000000,30.000000
359,185.000000,25.000000,30.000000
360,195.000000,25.000000,30.000000
361,5.000000,15.000000,30.000000
362,15.000000,15.000000,30.000000
363,25.000000,15.000000,30.000000
364,35.000000,15.000000,30.000000
365,45.000000,15.000000,30.000000
366,55.000000,15.000000,30.000000
367,65.000000,15.000000,30.000000
368,75.000000,15.000000,30.000000
369,85.000000,15.000000,30.000000
370,95.000000,15.000000,30.000000
371,105.000000,15.000000,30.000000
372,115.000000,15.000000,30.000000
373,125.000000,15.000000,30.000000
374,135.000000,15.000000,30.000000
375,145.000000,15.000000,30.000000
376,155.000000,15.000000,30.000000
377,165.000000,15.000000,30.000000
378,175.000000,15.000000,30.000000
379,185.000000,15.000000,30.000000
380,195.000000,15.000000,30.000000
381,5.000000,5.000000,30.000000
382,15.000000,5.000000,30.000000
383,25.000000,5.000000,30.000000
384,35.000000,5.000000,30.000000
385,45.000000,5.000000,30.000000
386,55.000000,5.000000,30.000000
387,65.000000,5.000000,30.000000
388,75.000000,5.000000,30.000000
389,85.000000,5.000000,30.000000
390,95.000000,5.000000,30.000000
391,105.000000,5.000000,30.000000
392,115.000000,5.000000,30.000000
393,125.000000,5.000000,30.000000
394,135.000000,5.000000,30.000000
395,145.000000,5.000000,30.000000
396,155.000000,5.000000,30.000000
397,165.000000,5.000000,30.000000
398,175.000000,5.000000,30.000000
399,185.000000,5.000000,30.000000
400,195.000000,5.000000,30.000000
401,5.000000,195.000000,19.500000
402,15.000000,195.000000,19.500000
403,25.000000,195.000000,19.500000
404,35.000000,195.000000,19.500000
405,45.000000,195.000000,19.500000
406,55.000000,195.000000,19.500000
407,65.000000,195.000000,19.500000
408,75.000000,195.000000,19.500000
409,85.000000,195.000000,19.500000
410,95.000000,195.000000,19.500000
411,105.000000,195.000000,19.500000
412,115.000000,195.000000,19.500000
413,125.000000,195.000000,19.500000
414,135.000000,195.000000,19.500000
415,145.000000,195.000000,19.500000
416,155.000000,195.000000,19.500000
417,165.000000,195.000000,19.500000
418,175.000000,195.000000,19.500000
